Database Name	ODA
Database Link	http://localhost/ODA/OdaService.asmx
Evaluation Signature	d6cc41ab-1a56-4e69-a568-0d27fb6df431
Plate Name	241213_182618-V
Measurement	Measurement 2
Evaluation	Evaluation4
Population	Population - Nuclei

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Nuclei - Nucleus Area [µm²]	Nuclei - Nucleus Roundness	Nuclei - Intensity Nucleus Alexa 488 Mean	Nuclei - Intensity Nucleus Alexa 488 Median	Nuclei - Intensity Nucleus Alexa 568 Mean	Nuclei - Intensity Nucleus Alexa 568 Median	Nuclei - Green nuclei	Nuclei - Red nuclei	Nuclei - Red and Green nuclei	
2	8	1	2	74	751	879	[727,854,777,909]	-259.01	541.74					177.139	0.941194	475.076	465	353.97	343	0	0	0	
2	8	1	2	75	982	894	[959,870,1007,923]	-191.7	537.23					159.231	0.89838	343.302	343	303.543	302	0	0	0	
2	8	1	2	76	830	922	[807,896,864,945]	-234.91	529.52					174.69	0.906853	381.878	381	316.117	314	0	0	0	
2	8	1	2	77	26	920	[8,903,43,946]	-470.01	529.04					95.8765	0.968759	542.87	516	341.116	338	1	0	0	
2	8	1	2	78	560	927	[533,903,586,953]	-314.88	527.85					161.005	0.953976	406.202	406	334.814	332	0	0	0	
2	8	1	2	79	203	935	[181,917,221,962]	-418.43	524.37					122.401	0.94714	712.556	683	485.589	425	1	0	0	
2	8	1	2	80	68	968	[34,935,112,1000]	-456.04	516.7					318.124	0.936125	529.665	521	342.323	336	1	0	0	
2	8	1	2	81	1006	950	[991,935,1032,965]	-183.34	520.81					60.8204	0.504304	414.892	418	305.211	304	0	0	0	
2	8	1	2	82	649	964	[624,939,674,990]	-288.53	517.15					171.142	0.9653	436.856	433	344.691	342	0	0	0	
2	8	1	2	83	885	1003	[863,955,916,1023]	-218.68	510.1					188.797	0.735872	442.064	418	398.808	372	0	0	0	
2	8	1	2	84	772	1016	[745,989,802,1048]	-252.2	501.53					215.068	0.97268	386.168	378	323.102	318	0	0	0	
2	8	1	2	85	515	1016	[490,991,541,1043]	-327.5	501.93					174.774	0.907106	441.352	436	352.686	326	0	0	0	
2	8	1	2	86	166	1051	[120,1023,204,1079]	-429.29	490.8					284.42	0.734358	458.02	455	322.313	319	0	0	0	
2	8	1	2	87	913	1057	[890,1034,939,1079]	-211.23	489.97					150.53	0.924989	342.089	342	283.848	283	0	0	0	
2	8	1	2	88	1061	1060	[1040,1040,1079,1079]	-168.7	489.12					113.025	0.896231	296.037	293	254.363	254	0	0	0	
2	8	1	2	89	636	1061	[617,1041,672,1079]	-290.17	488.68					127.216	0.690643	498.556	494	400.066	389	0	0	0	
2	8	1	2	90	971	1067	[949,1055,998,1079]	-193.92	487.12					76.4478	0.781295	333.099	326	276.573	272	0	0	0	
2	8	1	3	1	17	27	[0,0,34,58]	-152.63	789.32					123.499	0.762195	380.484	371	240.735	236	0	0	0	
2	8	1	3	2	148	24	[114,0,178,50]	-113.98	790.76					219.376	0.914493	524.074	512	329.953	321	1	0	0	
2	8	1	3	3	277	17	[254,0,301,35]	-75.6	793.04					117.248	0.839675	810.604	627	984.926	515	1	1	1	
2	8	1	3	4	312	9	[301,0,341,19]	-64.13	795.47					44.0103	0.653256	476.752	453	398.58	364	0	0	0	
2	8	1	3	5	786	30	[760,0,811,60]	71.74	789.13					192.175	0.937746	391.274	389	314.068	310	0	0	0	
2	8	1	3	6	908	33	[894,1,938,50]	109.37	790.16					80.8404	0.500764	448.168	449	293.261	293	0	0	0	
2	8	1	3	7	325	81	[294,52,358,109]	-61.91	774.26					230.779	0.99882	443.493	441	300.999	298	0	0	0	
2	8	1	3	8	486	89	[447,63,523,122]	-15.21	771.49					246.491	0.89105	471.957	456	397.764	363	0	0	0	
2	8	1	3	9	214	96	[186,68,244,130]	-94.16	768.85					238.382	0.990642	469.204	450	370.233	324	0	0	0	
2	8	1	3	10	119	107	[84,73,157,140]	-121.9	766.4					321.672	0.984526	471.037	456	306.371	299	0	0	0	
2	8	1	3	11	30	106	[0,74,60,139]	-148.37	766.75					264.738	0.968213	369.444	366	267.025	261	0	0	0	
2	8	1	3	12	611	117	[584,87,639,144]	20.94	763.53					192.175	0.918298	481.187	477	360.112	352	0	0	0	
2	8	1	3	13	712	145	[683,116,741,175]	50.04	755.45					220.643	0.960652	426.08	417	348.87	338	0	0	0	
2	8	1	3	14	927	163	[900,140,956,196]	113.1	749.16					196.484	0.836322	396.607	385	340.223	317	0	0	0	
2	8	1	3	15	205	194	[183,164,228,226]	-97.27	740.72					193.611	0.928663	510.161	494	410.493	388	1	0	0	
2	8	1	3	16	392	208	[368,184,417,234]	-42.58	737.03					160.921	0.992336	455.952	448	341.231	330	0	0	0	
2	8	1	3	17	66	222	[40,198,108,249]	-135.41	732.53					214.054	0.919462	426.238	420	304.117	299	0	0	0	
