Plate format,Incubation,Nuclei - Intensity Nucleus Alexa 488 Mean,Nuclei - Intensity Nucleus Alexa 488 Median,Nuclei - Intensity Nucleus Alexa 568 Mean,Nuclei - Intensity Nucleus Alexa 568 Median,Nuclei - Green nuclei,Nuclei - Red nuclei,Nuclei - Red and Green nuclei,Sample,Samples_order
G10,16 h,528.271,493,555.062,427,1,1,1,DMSO_10%_16h,1
G10,16 h,316.663,316,316.1,305,0,0,0,DMSO_10%_16h,1
G10,16 h,414.129,402,400.995,384,0,0,0,DMSO_10%_16h,1
G10,16 h,481.329,464,382.855,366,0,0,0,DMSO_10%_16h,1
G10,16 h,423.411,412,440.19,363,0,0,0,DMSO_10%_16h,1
G10,16 h,450.324,443,357.764,341,0,0,0,DMSO_10%_16h,1
G10,16 h,554.67,535,384.662,368,1,0,0,DMSO_10%_16h,1
G10,16 h,501.349,498,353.422,349,1,0,0,DMSO_10%_16h,1
G10,16 h,385.927,385,332.963,331,0,0,0,DMSO_10%_16h,1
G10,16 h,405.97,396,385.766,361,0,0,0,DMSO_10%_16h,1
G10,16 h,561.959,517,434.366,390,1,0,0,DMSO_10%_16h,1
G10,16 h,478.266,468,490.159,339,0,0,0,DMSO_10%_16h,1
G10,16 h,474.045,462,483.677,346,0,0,0,DMSO_10%_16h,1
G10,16 h,435.243,424,353.951,343,0,0,0,DMSO_10%_16h,1
G10,16 h,346.701,343,309.419,292,0,0,0,DMSO_10%_16h,1
G10,16 h,377.04,372,343.397,337,0,0,0,DMSO_10%_16h,1
G10,16 h,389.844,380,335.583,324,0,0,0,DMSO_10%_16h,1
G10,16 h,459.612,452,341.618,334,0,0,0,DMSO_10%_16h,1
G10,16 h,547.927,554,376.242,375,1,0,0,DMSO_10%_16h,1
G10,16 h,502.583,490,391.233,380,1,0,0,DMSO_10%_16h,1
G10,16 h,465.627,441,350.556,340,0,0,0,DMSO_10%_16h,1
G10,16 h,393.454,388,337.91,332,0,0,0,DMSO_10%_16h,1
G10,16 h,407.417,400,343.928,336,0,0,0,DMSO_10%_16h,1
G10,16 h,288.35,287,252.867,252,0,0,0,DMSO_10%_16h,1
G10,16 h,423.696,416,720.099,404,0,1,0,DMSO_10%_16h,1
G10,16 h,479.236,459,398.162,382,0,0,0,DMSO_10%_16h,1
G10,16 h,319.214,314,318.302,310,0,0,0,DMSO_10%_16h,1
G10,16 h,405.739,395,412.395,399,0,0,0,DMSO_10%_16h,1
G10,16 h,434.709,428,371.815,367,0,0,0,DMSO_10%_16h,1
G10,16 h,491.585,477,392.504,376,0,0,0,DMSO_10%_16h,1
G10,16 h,466.473,453,362.351,348,0,0,0,DMSO_10%_16h,1
G10,16 h,408.575,404,356.94,352,0,0,0,DMSO_10%_16h,1
G10,16 h,368.117,363,332.01,324,0,0,0,DMSO_10%_16h,1
G10,16 h,397.37,369,344.621,322,0,0,0,DMSO_10%_16h,1
G10,16 h,450.163,439,343.385,336,0,0,0,DMSO_10%_16h,1
G10,16 h,490.031,468,379.636,354,0,0,0,DMSO_10%_16h,1
G10,16 h,435.796,424,390.069,372,0,0,0,DMSO_10%_16h,1
G10,16 h,429.52,419,363.533,348,0,0,0,DMSO_10%_16h,1
G10,16 h,445.143,436,365.493,360,0,0,0,DMSO_10%_16h,1
G10,16 h,501.437,494,384.749,375,1,0,0,DMSO_10%_16h,1
G10,16 h,300.335,288,483.452,323,0,0,0,DMSO_10%_16h,1
G10,16 h,410.558,404,361.55,353,0,0,0,DMSO_10%_16h,1
G10,16 h,607.754,584,406.728,398,1,0,0,DMSO_10%_16h,1
G10,16 h,412.844,400,336.56,330,0,0,0,DMSO_10%_16h,1
G10,16 h,389.715,388,402.243,351,0,0,0,DMSO_10%_16h,1
G10,16 h,420.443,416,357.007,332,0,0,0,DMSO_10%_16h,1
G10,16 h,395.393,389,308.471,296,0,0,0,DMSO_10%_16h,1
G10,16 h,404.616,397,299.953,296,0,0,0,DMSO_10%_16h,1
G10,16 h,370.452,365,299.537,295,0,0,0,DMSO_10%_16h,1
G10,16 h,521.377,495,414.505,395,1,0,0,DMSO_10%_16h,1
G10,16 h,382.356,376,292.423,281,0,0,0,DMSO_10%_16h,1
G10,16 h,481.676,445,349.135,338,0,0,0,DMSO_10%_16h,1
G10,16 h,505.833,492,391.967,348,1,0,0,DMSO_10%_16h,1
G10,16 h,311.949,308,294.407,283,0,0,0,DMSO_10%_16h,1
G10,16 h,430.265,420,372.828,341,0,0,0,DMSO_10%_16h,1
G10,16 h,575.404,568,401.211,366,1,0,0,DMSO_10%_16h,1
G10,16 h,564.561,549,407.992,391,1,0,0,DMSO_10%_16h,1
G10,16 h,357.282,354,341.984,329,0,0,0,DMSO_10%_16h,1
G10,16 h,449.511,445,375.892,365,0,0,0,DMSO_10%_16h,1
G10,16 h,424.484,422,427.506,408,0,0,0,DMSO_10%_16h,1
G10,16 h,435.228,414,283.313,271,0,0,0,DMSO_10%_16h,1
G10,16 h,405.825,400,334.96,326,0,0,0,DMSO_10%_16h,1
G10,16 h,395.547,393,315.359,300,0,0,0,DMSO_10%_16h,1
G10,16 h,728.451,699,546.038,525,1,1,1,DMSO_10%_16h,1
G10,16 h,1217.16,431,527.014,378,1,1,1,DMSO_10%_16h,1
G10,16 h,473.993,466,441.661,424,0,0,0,DMSO_10%_16h,1
G10,16 h,535.799,474,501.739,370,1,1,1,DMSO_10%_16h,1
G10,16 h,501.625,388,378.072,346,1,0,0,DMSO_10%_16h,1
G10,16 h,466.345,460,345.224,335,0,0,0,DMSO_10%_16h,1
G10,16 h,1312.97,852,814.692,553,1,1,1,DMSO_10%_16h,1
G10,16 h,476.918,463,381.807,374,0,0,0,DMSO_10%_16h,1
G10,16 h,918.107,707,544.043,446,1,1,1,DMSO_10%_16h,1
G10,16 h,325.196,322,296.029,285,0,0,0,DMSO_10%_16h,1
G10,16 h,349.335,338,271.372,253,0,0,0,DMSO_10%_16h,1
G10,16 h,446.464,450,315.635,315,0,0,0,DMSO_10%_16h,1
G10,16 h,505.022,482,412.993,396,1,0,0,DMSO_10%_16h,1
G10,16 h,492.592,482,440.71,411,0,0,0,DMSO_10%_16h,1
G10,16 h,555.219,546,410.784,394,1,0,0,DMSO_10%_16h,1
G10,16 h,472.582,451,458.778,417,0,0,0,DMSO_10%_16h,1
G10,16 h,470.921,464,383.929,376,0,0,0,DMSO_10%_16h,1
G10,16 h,410.363,409,373.025,368,0,0,0,DMSO_10%_16h,1
G10,16 h,386.532,381,318.453,312,0,0,0,DMSO_10%_16h,1
G10,16 h,456.672,450,395.553,382,0,0,0,DMSO_10%_16h,1
G10,16 h,390.53,382,405.202,385,0,0,0,DMSO_10%_16h,1
G10,16 h,418.017,414,369.381,355,0,0,0,DMSO_10%_16h,1
G10,16 h,407.553,403,355.198,347,0,0,0,DMSO_10%_16h,1
G10,16 h,511.697,499,370.683,358,1,0,0,DMSO_10%_16h,1
