Plate format,Incubation,Nuclei - Intensity Nucleus Alexa 488 Mean,Nuclei - Intensity Nucleus Alexa 488 Median,Nuclei - Intensity Nucleus Alexa 568 Mean,Nuclei - Intensity Nucleus Alexa 568 Median,Nuclei - Green nuclei,Nuclei - Red nuclei,Nuclei - Red and Green nuclei,Sample,Samples_order
G6,30 min,491.839,468,392.603,368,0,0,0,DMSO_10%_30min,1
G6,30 min,506.868,496,414.653,400,1,0,0,DMSO_10%_30min,1
G6,30 min,563.341,526,515.596,498,1,1,1,DMSO_10%_30min,1
G6,30 min,565.27,551,500.468,476,1,1,1,DMSO_10%_30min,1
G6,30 min,547.131,531,564.363,513,1,1,1,DMSO_10%_30min,1
G6,30 min,427.216,426,407.048,383,0,0,0,DMSO_10%_30min,1
G6,30 min,491.837,458,355.668,342,0,0,0,DMSO_10%_30min,1
G6,30 min,478.704,472,476.092,465,0,0,0,DMSO_10%_30min,1
G6,30 min,347.7,340,374.954,352,0,0,0,DMSO_10%_30min,1
G6,30 min,392.277,391,296.375,292,0,0,0,DMSO_10%_30min,1
G6,30 min,576.612,547,638.523,602,1,1,1,DMSO_10%_30min,1
G6,30 min,398.582,382,313.15,306,0,0,0,DMSO_10%_30min,1
G6,30 min,560.325,539,516.506,482,1,1,1,DMSO_10%_30min,1
G6,30 min,407.916,395,339.943,328,0,0,0,DMSO_10%_30min,1
G6,30 min,359.956,353,383.147,372,0,0,0,DMSO_10%_30min,1
G6,30 min,337.672,333,347.103,340,0,0,0,DMSO_10%_30min,1
G6,30 min,361.934,354,251.687,245,0,0,0,DMSO_10%_30min,1
G6,30 min,599.793,559,473.76,449,1,0,0,DMSO_10%_30min,1
G6,30 min,476.947,458,495.494,463,0,0,0,DMSO_10%_30min,1
G6,30 min,364.964,358,427.811,424,0,0,0,DMSO_10%_30min,1
G6,30 min,412.35,382,462.335,438,0,0,0,DMSO_10%_30min,1
G6,30 min,648.351,625,532.002,481,1,1,1,DMSO_10%_30min,1
